X,Y
1539.8693,1861.4379
1560.7843,1819.6079
1498.0392,1832.6797
1537.2549,1793.4641
1581.6994,1816.9935
1584.3138,1856.2092
1581.6994,1900.6536
1644.4445,1913.7255
1657.5164,1879.7386
1620.9151,1848.3660
1699.3464,1840.5229
1824.8367,1811.7647
1866.6668,1814.3791
1824.8367,1840.5229
1827.4510,1882.3529
1861.4380,1620.9151
1937.2549,1534.6406
1843.1373,1432.6798
1741.1766,1508.4968
1667.9739,1743.7909
1715.0327,1720.2615
1741.1766,1769.9347
1678.4314,1819.6079
1958.1699,1746.4052
1900.6536,1717.6471
1934.6406,1675.8170
739.8693,5.2288
