X,Y
39.2157,146.4052
86.2745,86.2745
86.2745,86.2745
91.5033,23.5294
149.0196,175.1634
196.0784,143.7908
243.1373,188.2353
188.2353,203.9216
188.2353,203.9216
269.2811,138.5621
269.2811,138.5621
219.6078,101.9608
219.6078,101.9608
219.6078,73.2026
250.9804,60.1307
240.5229,23.5294
287.5817,54.9020
305.8823,107.1895
366.0131,86.2745
366.0131,117.6471
329.4118,13.0719
10.4575,23.5294
10.4575,23.5294
452.2876,133.3333
449.6732,81.0458
504.5751,91.5033
491.5033,73.2026
551.6340,109.8039
564.7059,54.9020
648.3660,91.5033
679.7386,78.4314
729.4118,57.5163
729.4118,57.5163
729.4118,31.3726
768.6275,54.9020
755.5556,23.5294
833.9869,65.3595
867.9739,75.8170
857.5163,26.1438
909.8039,104.5752
878.4314,138.5621
951.6340,67.9739
1132.0262,75.8170
1150.3268,28.7582
1098.0393,109.8039
1035.2942,120.2614
1084.9674,180.3922
1105.8824,214.3791
1213.0719,243.1373
1194.7713,240.5229
1205.2288,196.0784
1265.3595,185.6209
1236.6014,167.3203
1218.3007,133.3333
1265.3595,115.0327
1273.2027,156.8628
1228.7582,39.2157
1411.7647,65.3595
1398.6928,130.7190
1427.4510,169.9346
1369.9347,172.5490
1328.1046,216.9935
1330.7190,235.2941
1330.7190,235.2941
1351.6340,277.1242
1388.2353,253.5948
1398.6928,311.1111
1440.5229,303.2680
1440.5229,303.2680
1458.8236,300.6536
1458.8236,300.6536
1453.5948,274.5098
1458.8236,253.5948
1495.4249,282.3530
1537.2549,274.5098
1532.0262,222.2222
1584.3138,261.4379
1581.6994,224.8366
1626.1438,219.6078
1620.9151,264.0523
1639.2157,175.1634
1613.0719,133.3333
1579.0850,107.1895
1532.0262,107.1895
1479.7386,133.3333
1539.8693,36.6013
1589.5425,44.4444
1620.9151,62.7451
1652.2876,96.7320
1694.1177,159.4771
1715.0327,219.6078
1809.1503,206.5360
1793.4641,214.3791
1756.8628,313.7255
1788.2353,269.2811
1806.5360,303.2680
1837.9085,253.5948
1874.5098,274.5098
1898.0392,206.5360
1973.8562,277.1242
1971.2418,250.9804
1932.0261,164.7059
1882.3529,154.2484
1892.8105,122.8758
1924.1830,57.5163
1992.1569,107.1895
1735.9477,23.5294
1777.7778,13.0719
1725.4902,146.4052
1743.7909,128.1046
1764.7059,107.1895
1788.2353,75.8170
1848.3660,65.3595
1832.6797,130.7190
1814.3791,109.8039
