"X","Y"
13,56
44,70
149,24
52,162
103,147
179,173
203,278
269,253
248,286
276,305
363,265
430,170
446,187
446,187
467,142
361,52
569,83
933,40
933,40
700,294
759,323
917,262
830,236
883,203
582,347
510,282
553,414
553,414
633,418
798,479
833,543
917,447
948,515
952,689
973,655
954,808
759,813
742,886
719,902
790,978
770,1017
624,966
596,924
661,891
505,988
543,980
416,992
345,968
300,902
35,900
151,948
43,838
15,774
71,747
66,689
59,613
203,738
170,771
402,668
288,672
258,657
205,592
163,549
114,501
103,479
79,422
72,396
48,537
167,367
355,415
270,438
383,543
380,581
331,568
671,572
735,590
771,633
859,640
660,634
600,597
551,636
649,713
593,709
655,681
550,838
513,846
505,768
450,827
